E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c1] table+rank ready in 0.2s q=0.05d T=4000
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c0] iter=705 elapsed=13.3min DP_ok=415 DP_fail=290 accepted=409 rate=52.9/min state=123.1752 best=116.3755 kick=4 stale=163
[c3] iter=670 elapsed=13.3min DP_ok=436 DP_fail=234 accepted=430 rate=50.2/min state=123.9710 best=117.1256 kick=4 stale=182
[c1] iter=705 elapsed=13.3min DP_ok=423 DP_fail=282 accepted=422 rate=52.8/min state=123.2781 best=118.5255 kick=4 stale=173
[c2] iter=695 elapsed=13.4min DP_ok=431 DP_fail=264 accepted=425 rate=51.8/min state=123.1752 best=116.3755 kick=4 stale=180
[c0] iter=710 elapsed=13.4min DP_ok=418 DP_fail=292 accepted=412 rate=52.8/min state=123.1752 best=116.3755 kick=4 stale=166
[c2] iter=700 elapsed=13.5min DP_ok=433 DP_fail=267 accepted=427 rate=51.7/min state=123.1752 best=116.3755 kick=4 stale=182
[c1] iter=725 elapsed=13.6min DP_ok=431 DP_fail=294 accepted=430 rate=53.2/min state=123.2781 best=118.5255 kick=4 stale=181
[c2] iter=705 elapsed=13.7min DP_ok=438 DP_fail=267 accepted=432 rate=51.6/min state=123.1752 best=116.3755 kick=4 stale=187
[c0] iter=725 elapsed=13.7min DP_ok=426 DP_fail=299 accepted=420 rate=53.0/min state=123.1752 best=116.3755 kick=4 stale=174
[c3] iter=690 elapsed=13.7min DP_ok=448 DP_fail=242 accepted=442 rate=50.4/min state=123.9710 best=117.1256 kick=4 stale=194
[c1] iter=730 elapsed=13.7min DP_ok=434 DP_fail=296 accepted=433 rate=53.3/min state=123.2781 best=118.5255 kick=4 stale=184
[c3] iter=695 elapsed=13.8min DP_ok=452 DP_fail=243 accepted=445 rate=50.4/min state=123.9710 best=117.1256 kick=4 stale=198
[c0] iter=730 elapsed=13.8min DP_ok=430 DP_fail=300 accepted=424 rate=52.9/min state=123.1752 best=116.3755 kick=4 stale=178
[c2] iter=715 elapsed=13.8min DP_ok=443 DP_fail=272 accepted=437 rate=51.7/min state=123.1752 best=116.3755 kick=4 stale=192
[c0] iter=735 elapsed=13.9min DP_ok=434 DP_fail=301 accepted=428 rate=52.8/min state=123.1752 best=116.3755 kick=4 stale=182
[c3] iter=700 elapsed=13.9min DP_ok=456 DP_fail=244 accepted=449 rate=50.2/min state=123.9710 best=117.1256 kick=5 stale=202
[c1] iter=740 elapsed=14.0min DP_ok=443 DP_fail=297 accepted=442 rate=53.0/min state=120.2774 best=118.5255 kick=4 stale=193
[c3] iter=705 elapsed=14.0min DP_ok=457 DP_fail=248 accepted=450 rate=50.5/min state=123.9710 best=117.1256 kick=5 stale=203
[c1] iter=745 elapsed=14.1min DP_ok=447 DP_fail=298 accepted=446 rate=53.0/min state=119.3274 best=118.5255 kick=4 stale=197
[c0] iter=745 elapsed=14.1min DP_ok=438 DP_fail=307 accepted=432 rate=52.9/min state=123.1752 best=116.3755 kick=4 stale=186
[c3] iter=715 elapsed=14.2min DP_ok=464 DP_fail=251 accepted=455 rate=50.4/min state=123.9710 best=117.1256 kick=5 stale=210
[c0] iter=750 elapsed=14.2min DP_ok=442 DP_fail=308 accepted=436 rate=52.8/min state=123.1752 best=116.3755 kick=4 stale=190
[c2] iter=735 elapsed=14.3min DP_ok=458 DP_fail=277 accepted=452 rate=51.5/min state=122.7253 best=116.3755 kick=5 stale=207
[c1] iter=755 elapsed=14.3min DP_ok=453 DP_fail=302 accepted=452 rate=52.8/min state=123.2781 best=118.5255 kick=5 stale=203
[c0] iter=755 elapsed=14.3min DP_ok=446 DP_fail=309 accepted=440 rate=52.8/min state=123.1752 best=116.3755 kick=4 stale=194
[c1] iter=760 elapsed=14.4min DP_ok=457 DP_fail=303 accepted=456 rate=52.7/min state=123.2781 best=118.5255 kick=5 stale=207
[c2] iter=745 elapsed=14.4min DP_ok=462 DP_fail=283 accepted=456 rate=51.6/min state=122.7253 best=116.3755 kick=5 stale=211
[c0] iter=765 elapsed=14.4min DP_ok=451 DP_fail=314 accepted=445 rate=53.0/min state=123.1752 best=116.3755 kick=4 stale=199
[c1] iter=765 elapsed=14.5min DP_ok=460 DP_fail=305 accepted=459 rate=52.7/min state=123.2781 best=118.5255 kick=5 stale=210
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_e617_dp_alns_cheapest_repair.py:97: RuntimeWarning: invalid value encountered in scalar subtract
  c = rank[a, x] + rank[x, b] - rank[a, b]
[c0] iter=785 elapsed=14.7min DP_ok=459 DP_fail=326 accepted=452 rate=53.3/min state=123.1752 best=116.3755 kick=5 stale=207
[c1] iter=775 elapsed=14.7min DP_ok=467 DP_fail=308 accepted=466 rate=52.6/min state=123.2781 best=118.5255 kick=5 stale=217
[c2] iter=760 elapsed=14.7min DP_ok=471 DP_fail=289 accepted=465 rate=51.5/min state=123.1752 best=116.3755 kick=5 stale=220
[c3] iter=755 elapsed=14.8min DP_ok=482 DP_fail=273 accepted=473 rate=51.1/min state=123.9710 best=117.1256 kick=5 stale=228
[c1] iter=780 elapsed=14.9min DP_ok=471 DP_fail=309 accepted=470 rate=52.5/min state=123.2781 best=118.5255 kick=5 stale=221
[c3] iter=760 elapsed=14.9min DP_ok=486 DP_fail=274 accepted=477 rate=51.0/min state=123.9710 best=117.1256 kick=5 stale=232
[c2] iter=765 elapsed=14.9min DP_ok=476 DP_fail=289 accepted=469 rate=51.4/min state=123.1752 best=116.3755 kick=5 stale=225
[c1] iter=785 elapsed=14.9min DP_ok=474 DP_fail=311 accepted=473 rate=52.5/min state=123.2781 best=118.5255 kick=5 stale=224
[c3] iter=765 elapsed=15.0min DP_ok=489 DP_fail=276 accepted=480 rate=51.0/min state=123.9710 best=117.1256 kick=5 stale=235
[c2] iter=770 elapsed=15.0min DP_ok=479 DP_fail=291 accepted=472 rate=51.3/min state=123.1752 best=116.3755 kick=5 stale=228
[c1] iter=790 elapsed=15.0min DP_ok=476 DP_fail=314 accepted=475 rate=52.6/min state=123.2781 best=118.5255 kick=5 stale=226
[c0] iter=805 elapsed=15.1min DP_ok=470 DP_fail=335 accepted=461 rate=53.4/min state=123.1752 best=116.3755 kick=5 stale=218
[c3] iter=770 elapsed=15.1min DP_ok=492 DP_fail=278 accepted=483 rate=51.1/min state=123.9710 best=117.1256 kick=5 stale=238
[c2] iter=780 elapsed=15.1min DP_ok=483 DP_fail=297 accepted=476 rate=51.5/min state=123.1752 best=116.3755 kick=5 stale=232
[c1] iter=795 elapsed=15.2min DP_ok=479 DP_fail=316 accepted=478 rate=52.4/min state=123.2781 best=118.5255 kick=5 stale=229
[c0] iter=810 elapsed=15.2min DP_ok=473 DP_fail=337 accepted=464 rate=53.4/min state=123.1752 best=116.3755 kick=5 stale=221
[c3] iter=775 elapsed=15.2min DP_ok=496 DP_fail=279 accepted=487 rate=50.9/min state=123.9710 best=117.1256 kick=5 stale=242
[c2] iter=785 elapsed=15.3min DP_ok=488 DP_fail=297 accepted=481 rate=51.4/min state=123.1752 best=116.3755 kick=5 stale=237
[c1] iter=800 elapsed=15.3min DP_ok=483 DP_fail=317 accepted=482 rate=52.3/min state=123.2781 best=118.5255 kick=5 stale=233
[c2] iter=790 elapsed=15.4min DP_ok=490 DP_fail=300 accepted=482 rate=51.3/min state=123.1752 best=116.3755 kick=5 stale=239
[c1] iter=810 elapsed=15.5min DP_ok=488 DP_fail=322 accepted=487 rate=52.4/min state=123.2781 best=118.5255 kick=5 stale=238
[c0] iter=825 elapsed=15.5min DP_ok=483 DP_fail=342 accepted=473 rate=53.2/min state=123.1752 best=116.3755 kick=5 stale=231
[c3] iter=795 elapsed=15.6min DP_ok=507 DP_fail=288 accepted=495 rate=51.1/min state=117.1256 best=117.1256 kick=3 stale=3
[c1] iter=825 elapsed=15.6min DP_ok=493 DP_fail=332 accepted=492 rate=52.8/min state=123.2781 best=118.5255 kick=5 stale=243
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_e617_dp_alns_cheapest_repair.py:113: RuntimeWarning: invalid value encountered in scalar subtract
  c = rank[a, x] + rank[x, b] - rank[a, b]
[c1] iter=830 elapsed=15.7min DP_ok=495 DP_fail=335 accepted=494 rate=52.8/min state=123.2781 best=118.5255 kick=5 stale=245
[c2] iter=810 elapsed=15.7min DP_ok=501 DP_fail=309 accepted=492 rate=51.4/min state=116.3755 best=116.3755 kick=3 stale=0
[c3] iter=805 elapsed=15.8min DP_ok=513 DP_fail=292 accepted=501 rate=51.1/min state=117.1256 best=117.1256 kick=3 stale=9
[c1] iter=840 elapsed=15.8min DP_ok=498 DP_fail=342 accepted=497 rate=53.1/min state=123.2781 best=118.5255 kick=5 stale=248
[c3] iter=810 elapsed=15.9min DP_ok=517 DP_fail=293 accepted=505 rate=51.0/min state=117.1256 best=117.1256 kick=3 stale=13
[c1] iter=845 elapsed=15.9min DP_ok=501 DP_fail=344 accepted=500 rate=53.1/min state=118.9755 best=118.5255 kick=3 stale=1
[c3] iter=815 elapsed=15.9min DP_ok=518 DP_fail=297 accepted=506 rate=51.2/min state=117.1256 best=117.1256 kick=3 stale=14
[c1] iter=850 elapsed=16.0min DP_ok=504 DP_fail=346 accepted=503 rate=53.1/min state=118.9755 best=118.5255 kick=3 stale=4
[c2] iter=825 elapsed=16.0min DP_ok=508 DP_fail=317 accepted=499 rate=51.6/min state=117.0755 best=116.3755 kick=3 stale=7
[c3] iter=820 elapsed=16.0min DP_ok=521 DP_fail=299 accepted=509 rate=51.3/min state=117.1256 best=117.1256 kick=3 stale=17
[c2] iter=830 elapsed=16.1min DP_ok=510 DP_fail=320 accepted=501 rate=51.7/min state=117.0755 best=116.3755 kick=3 stale=9
[c1] iter=855 elapsed=16.1min DP_ok=506 DP_fail=349 accepted=505 rate=53.2/min state=118.9755 best=118.5255 kick=3 stale=6
[c3] iter=825 elapsed=16.1min DP_ok=525 DP_fail=300 accepted=513 rate=51.2/min state=117.1256 best=117.1256 kick=3 stale=21
[c0] iter=855 elapsed=16.1min DP_ok=502 DP_fail=353 accepted=492 rate=53.0/min state=116.3755 best=116.3755 kick=3 stale=0
[c1] iter=860 elapsed=16.1min DP_ok=508 DP_fail=352 accepted=507 rate=53.3/min state=119.3274 best=118.5255 kick=3 stale=8
[c0] iter=860 elapsed=16.2min DP_ok=505 DP_fail=355 accepted=495 rate=53.1/min state=119.4255 best=116.3755 kick=3 stale=3
[c1] iter=865 elapsed=16.2min DP_ok=510 DP_fail=355 accepted=509 rate=53.3/min state=119.3274 best=118.5255 kick=3 stale=10
[c2] iter=840 elapsed=16.3min DP_ok=515 DP_fail=325 accepted=506 rate=51.7/min state=117.1256 best=116.3755 kick=3 stale=14
[c0] iter=865 elapsed=16.3min DP_ok=509 DP_fail=356 accepted=499 rate=53.0/min state=119.4255 best=116.3755 kick=3 stale=7
[c2] iter=845 elapsed=16.3min DP_ok=518 DP_fail=327 accepted=509 rate=51.7/min state=117.1256 best=116.3755 kick=3 stale=17
[c0] iter=870 elapsed=16.5min DP_ok=514 DP_fail=356 accepted=504 rate=52.8/min state=119.4255 best=116.3755 kick=3 stale=12
[c1] iter=880 elapsed=16.6min DP_ok=521 DP_fail=359 accepted=520 rate=53.1/min state=123.2781 best=118.5255 kick=3 stale=21
[c3] iter=855 elapsed=16.6min DP_ok=539 DP_fail=316 accepted=526 rate=51.6/min state=117.1256 best=117.1256 kick=3 stale=35
[c0] iter=875 elapsed=16.6min DP_ok=517 DP_fail=358 accepted=507 rate=52.7/min state=119.4255 best=116.3755 kick=3 stale=15
[c2] iter=860 elapsed=16.6min DP_ok=526 DP_fail=334 accepted=516 rate=51.8/min state=117.1256 best=116.3755 kick=3 stale=25
[c1] iter=885 elapsed=16.6min DP_ok=524 DP_fail=361 accepted=523 rate=53.2/min state=123.2781 best=118.5255 kick=3 stale=24
[c2] iter=865 elapsed=16.7min DP_ok=528 DP_fail=337 accepted=518 rate=51.9/min state=117.1256 best=116.3755 kick=3 stale=27
[c3] iter=860 elapsed=16.7min DP_ok=543 DP_fail=317 accepted=530 rate=51.5/min state=117.1256 best=117.1256 kick=3 stale=39
[c0] iter=885 elapsed=16.7min DP_ok=522 DP_fail=363 accepted=512 rate=52.9/min state=119.4255 best=116.3755 kick=3 stale=20
[c3] iter=870 elapsed=16.8min DP_ok=547 DP_fail=323 accepted=534 rate=51.8/min state=123.1752 best=117.1256 kick=3 stale=43
[c1] iter=900 elapsed=17.0min DP_ok=533 DP_fail=367 accepted=532 rate=53.1/min state=123.2781 best=118.5255 kick=3 stale=33
[c0] iter=900 elapsed=17.0min DP_ok=529 DP_fail=371 accepted=519 rate=53.0/min state=119.4255 best=116.3755 kick=3 stale=27
[c2] iter=885 elapsed=17.0min DP_ok=540 DP_fail=345 accepted=530 rate=51.9/min state=119.4255 best=116.3755 kick=3 stale=39
[c1] iter=905 elapsed=17.1min DP_ok=536 DP_fail=369 accepted=535 rate=53.0/min state=123.2781 best=118.5255 kick=3 stale=36
[c0] iter=905 elapsed=17.1min DP_ok=532 DP_fail=373 accepted=522 rate=52.9/min state=119.4255 best=116.3755 kick=3 stale=30
[c1] iter=915 elapsed=17.2min DP_ok=539 DP_fail=376 accepted=538 rate=53.3/min state=123.2781 best=118.5255 kick=3 stale=39
[c2] iter=895 elapsed=17.2min DP_ok=546 DP_fail=349 accepted=536 rate=52.0/min state=119.4255 best=116.3755 kick=3 stale=45
[c0] iter=915 elapsed=17.3min DP_ok=536 DP_fail=379 accepted=526 rate=53.0/min state=119.4255 best=116.3755 kick=3 stale=34
[c3] iter=890 elapsed=17.3min DP_ok=560 DP_fail=330 accepted=547 rate=51.4/min state=123.1752 best=117.1256 kick=3 stale=56
[c1] iter=930 elapsed=17.4min DP_ok=546 DP_fail=384 accepted=545 rate=53.6/min state=123.2781 best=118.5255 kick=3 stale=46
[c2] iter=900 elapsed=17.4min DP_ok=551 DP_fail=349 accepted=541 rate=51.8/min state=119.4255 best=116.3755 kick=3 stale=50
[c1] iter=935 elapsed=17.4min DP_ok=549 DP_fail=386 accepted=548 rate=53.6/min state=123.2781 best=118.5255 kick=3 stale=49
[c3] iter=905 elapsed=17.5min DP_ok=568 DP_fail=337 accepted=555 rate=51.6/min state=123.1752 best=117.1256 kick=3 stale=64
[c1] iter=940 elapsed=17.6min DP_ok=552 DP_fail=388 accepted=551 rate=53.5/min state=123.2781 best=118.5255 kick=3 stale=52
[c1] iter=945 elapsed=17.7min DP_ok=555 DP_fail=390 accepted=554 rate=53.4/min state=123.2781 best=118.5255 kick=3 stale=55
[c1] iter=950 elapsed=17.8min DP_ok=559 DP_fail=391 accepted=558 rate=53.3/min state=123.2781 best=118.5255 kick=3 stale=59
[c3] iter=920 elapsed=17.8min DP_ok=575 DP_fail=345 accepted=562 rate=51.6/min state=123.1752 best=117.1256 kick=3 stale=71
[c2] iter=930 elapsed=17.8min DP_ok=563 DP_fail=367 accepted=553 rate=52.1/min state=119.4255 best=116.3755 kick=3 stale=62
[c1] iter=955 elapsed=17.9min DP_ok=563 DP_fail=392 accepted=562 rate=53.3/min state=123.2781 best=118.5255 kick=3 stale=63
[c0] iter=955 elapsed=18.0min DP_ok=555 DP_fail=400 accepted=545 rate=53.2/min state=123.1752 best=116.3755 kick=3 stale=53
[c2] iter=935 elapsed=18.0min DP_ok=567 DP_fail=368 accepted=557 rate=52.1/min state=119.4255 best=116.3755 kick=3 stale=66
[c0] iter=965 elapsed=18.1min DP_ok=559 DP_fail=406 accepted=549 rate=53.3/min state=123.1752 best=116.3755 kick=3 stale=57
[c1] iter=965 elapsed=18.1min DP_ok=571 DP_fail=394 accepted=570 rate=53.2/min state=123.2781 best=118.5255 kick=3 stale=71
[c3] iter=935 elapsed=18.2min DP_ok=584 DP_fail=351 accepted=571 rate=51.5/min state=123.1752 best=117.1256 kick=3 stale=80
[c0] iter=970 elapsed=18.2min DP_ok=564 DP_fail=406 accepted=554 rate=53.2/min state=123.1752 best=116.3755 kick=3 stale=62
[c3] iter=940 elapsed=18.3min DP_ok=588 DP_fail=352 accepted=574 rate=51.5/min state=123.1752 best=117.1256 kick=3 stale=84
[c1] iter=970 elapsed=18.3min DP_ok=575 DP_fail=395 accepted=574 rate=53.1/min state=123.2781 best=118.5255 kick=3 stale=75
[c2] iter=950 elapsed=18.3min DP_ok=578 DP_fail=372 accepted=568 rate=51.9/min state=119.4255 best=116.3755 kick=3 stale=77
[c0] iter=975 elapsed=18.3min DP_ok=566 DP_fail=409 accepted=556 rate=53.2/min state=123.1752 best=116.3755 kick=3 stale=64
